"Date","Price","Open","High","Low","Vol.","Change %"
"May 03, 2018","2.0730","2.0104","2.0740","2.0075","-","2.14%"
"May 02, 2018","2.0296","2.0229","2.0585","2.0094","-","-0.48%"
"May 01, 2018","2.0393","1.9564","2.0402","1.9545","-","3.68%"
"Apr 30, 2018","1.9670","1.9429","1.9767","1.9401","-","2.41%"
"Apr 27, 2018","1.9208","1.8967","1.9208","1.8861","-","1.84%"
"Apr 26, 2018","1.8861","1.9121","1.9150","1.8794","-","-1.90%"
"Apr 25, 2018","1.9227","1.8755","1.9314","1.8707","-","3.04%"
"Apr 24, 2018","1.8659","1.8139","1.8678","1.8033","-","2.06%"
"Apr 23, 2018","1.8283","1.8418","1.8514","1.8206","-","-0.58%"
"Apr 20, 2018","1.8389","1.8591","1.8717","1.8370","-","-2.75%"
"Apr 19, 2018","1.8909","1.8909","1.9015","1.8688","-","0.31%"
"Apr 18, 2018","1.8851","1.8736","1.8900","1.8601","-","1.61%"
"Apr 17, 2018","1.8553","1.8582","1.8736","1.8379","-","0.52%"
"Apr 16, 2018","1.8457","1.8659","1.8678","1.8418","-","-2.09%"
"Apr 13, 2018","1.8851","1.8938","1.9063","1.8736","-","-1.81%"
"Apr 12, 2018","1.9198","1.9073","1.9227","1.8967","-","-1.19%"
"Apr 11, 2018","1.9429","1.9449","1.9584","1.9275","-","-0.84%"
"Apr 10, 2018","1.9593","1.9372","1.9661","1.9237","-","3.52%"
"Apr 09, 2018","1.8927","1.8534","1.9011","1.8460","-","3.58%"
"Apr 06, 2018","1.8272","1.7805","1.8282","1.7805","-","1.51%"
"Apr 05, 2018","1.8001","1.7846","1.8044","1.7770","-","1.80%"
"Apr 04, 2018","1.7683","1.7374","1.7802","1.7374","-","-0.29%"
"Apr 03, 2018","1.7735","1.7493","1.7966","1.7454","-","2.46%"
"Apr 02, 2018","1.7310","1.7640","1.7727","1.7291","-","-1.06%"
"Mar 29, 2018","1.7495","1.7359","1.7659","1.7136","-","1.24%"
"Mar 28, 2018","1.7281","1.7301","1.7553","1.7242","-","-0.78%"
"Mar 27, 2018","1.7417","1.7553","1.7747","1.7407","-","-1.16%"
"Mar 26, 2018","1.7621","1.7747","1.7795","1.7504","-","-1.30%"
"Mar 23, 2018","1.7853","1.7436","1.7902","1.7368","-","0.98%"
"Mar 22, 2018","1.7679","1.7785","1.7834","1.7514","-","0.49%"
"Mar 21, 2018","1.7592","1.7562","1.7601","1.7330","-","0.11%"
"Mar 20, 2018","1.7572","1.7640","1.7737","1.7514","-","0.50%"
"Mar 19, 2018","1.7485","1.7815","1.7892","1.7485","-","-3.63%"
"Mar 16, 2018","1.8144","1.8484","1.8493","1.8135","-","-2.30%"
"Mar 15, 2018","1.8571","1.9027","1.9036","1.8464","-","-2.05%"
"Mar 14, 2018","1.8959","1.8794","1.9027","1.8775","-","0.46%"
"Mar 13, 2018","1.8872","1.9133","1.9308","1.8804","-","-0.86%"
"Mar 12, 2018","1.9036","1.8755","1.9114","1.8746","-","0.31%"
"Mar 09, 2018","1.8978","1.9192","1.9192","1.8852","-","-6.98%"
"Mar 08, 2018","2.0403","2.0219","2.0536","2.0046","-","0.40%"
"Mar 07, 2018","2.0322","2.0649","2.0822","2.0281","-","-1.92%"
"Mar 06, 2018","2.0720","2.0587","2.0730","2.0250","-","-0.44%"
"Mar 05, 2018","2.0812","2.0454","2.0843","2.0414","-","1.85%"
"Mar 02, 2018","2.0434","2.0894","2.0986","2.0158","-","-3.00%"
"Mar 01, 2018","2.1067","2.0046","2.1088","2.0005","-","4.14%"
"Feb 28, 2018","2.0230","1.9801","2.0403","1.9760","-","3.78%"
"Feb 27, 2018","1.9494","1.9443","1.9576","1.9423","-","0.90%"
"Feb 26, 2018","1.9320","1.9218","1.9474","1.9157","-","1.83%"
"Feb 23, 2018","1.8973","1.9126","1.9177","1.8953","-","0.00%"
"Feb 22, 2018","1.8973","1.8769","1.8993","1.8738","-","1.03%"
"Feb 21, 2018","1.8779","1.8850","1.8993","1.8779","-","-0.65%"
"Feb 20, 2018","1.8901","1.9392","1.9463","1.8901","-","-1.91%"
"Feb 16, 2018","1.9269","1.9269","1.9331","1.9218","-","-0.79%"
"Feb 15, 2018","1.9423","1.9167","1.9463","1.9024","-","1.28%"
"Feb 14, 2018","1.9177","1.9198","1.9361","1.9116","-","-0.95%"
"Feb 13, 2018","1.9361","1.9361","1.9555","1.9310","-","-0.47%"
"Feb 12, 2018","1.9453","1.9147","1.9484","1.9034","-","3.25%"
"Feb 09, 2018","1.8840","1.8973","1.9034","1.8820","-","-8.05%"
"Feb 08, 2018","2.0489","2.0489","2.0642","2.0303","-","-0.79%"
"Feb 07, 2018","2.0653","2.0653","2.0685","2.0194","-","3.05%"
"Feb 06, 2018","2.0041","1.9758","2.0091","1.9723","-","1.42%"
"Feb 05, 2018","1.9761","1.9772","2.0016","1.9717","-","-1.52%"
"Feb 02, 2018","2.0065","2.0155","2.0185","1.9985","-","-0.95%"
"Feb 01, 2018","2.0258","2.0033","2.0269","1.9910","-","-0.16%"
"Jan 31, 2018","2.0291","2.0280","2.0482","2.0112","-","-1.20%"
"Jan 30, 2018","2.0538","2.0426","2.0561","2.0303","-","1.78%"
"Jan 29, 2018","2.0179","2.0112","2.0190","1.9988","-","1.87%"
"Jan 26, 2018","1.9809","1.9651","1.9876","1.9584","-","1.50%"
"Jan 25, 2018","1.9517","1.9539","1.9696","1.9292","-","0.35%"
"Jan 24, 2018","1.9449","1.9022","1.9483","1.9022","-","2.73%"
"Jan 23, 2018","1.8933","1.9034","1.9090","1.8854","-","-1.00%"
"Jan 22, 2018","1.9124","1.9191","1.9202","1.9011","-","0.71%"
"Jan 19, 2018","1.8989","1.9157","1.9180","1.8944","-","-0.59%"
"Jan 18, 2018","1.9101","1.9034","1.9124","1.8955","-","0.89%"
"Jan 17, 2018","1.8933","1.8731","1.8978","1.8674","-","1.20%"
"Jan 16, 2018","1.8708","1.8742","1.8764","1.8562","-","-0.95%"
"Jan 12, 2018","1.8888","1.9483","1.9584","1.8820","-","-2.94%"
"Jan 11, 2018","1.9460","1.9427","1.9505","1.9258","-","-0.23%"
"Jan 10, 2018","1.9505","1.9120","1.9505","1.9065","-","2.19%"
"Jan 09, 2018","1.9087","1.8844","1.9142","1.8789","-","1.05%"
"Jan 08, 2018","1.8888","1.8866","1.9076","1.8822","-","-0.69%"
"Jan 05, 2018","1.9020","1.9109","1.9120","1.8888","-","-0.75%"
"Jan 04, 2018","1.9164","1.9164","1.9252","1.9054","-","-0.46%"
"Jan 03, 2018","1.9252","1.9241","1.9285","1.9076","-","0.57%"
"Jan 02, 2018","1.9142","1.8855","1.9252","1.8855","-","1.52%"
"Dec 29, 2017","1.8855","1.8855","1.8888","1.8733","-","-0.17%"
"Dec 28, 2017","1.8888","1.8822","1.8921","1.8778","-","-0.06%"
"Dec 27, 2017","1.8899","1.8612","1.8899","1.8601","-","1.36%"
"Dec 26, 2017","1.8645","1.8755","1.8844","1.8579","-","-0.59%"
"Dec 22, 2017","1.8755","1.8844","1.8943","1.8733","-","-0.53%"
"Dec 21, 2017","1.8855","1.8689","1.8877","1.8656","-","0.83%"
"Dec 20, 2017","1.8700","1.8468","1.8744","1.8380","-","0.95%"
"Dec 19, 2017","1.8524","1.8546","1.8722","1.8513","-","-0.24%"
"Dec 18, 2017","1.8568","1.8678","1.8689","1.8524","-","0.54%"
"Dec 15, 2017","1.8468","1.8513","1.8612","1.8347","-","0.00%"
"Dec 14, 2017","1.8468","1.8402","1.8579","1.8391","-","0.36%"
"Dec 13, 2017","1.8402","1.8215","1.8413","1.8215","-","1.46%"
"Dec 12, 2017","1.8137","1.8314","1.8491","1.8137","-","-0.67%"
"Dec 11, 2017","1.8259","1.8292","1.8391","1.8137","-","0.77%"
"Dec 08, 2017","1.8119","1.8292","1.8346","1.8065","-","-0.59%"
"Dec 07, 2017","1.8227","1.8357","1.8378","1.8151","-","-0.88%"
"Dec 06, 2017","1.8389","1.8681","1.8703","1.8368","-","-1.73%"
"Dec 05, 2017","1.8713","1.8778","1.8854","1.8638","-","-0.58%"
"Dec 04, 2017","1.8822","1.9059","1.9146","1.8811","-","-0.74%"
"Dec 01, 2017","1.8962","1.8811","1.8973","1.8692","-","1.27%"
"Nov 30, 2017","1.8724","1.8649","1.8984","1.8616","-","-0.40%"
"Nov 29, 2017","1.8800","1.8638","1.8832","1.8627","-","1.28%"
"Nov 28, 2017","1.8562","1.8508","1.8616","1.8346","-","0.23%"
"Nov 27, 2017","1.8519","1.8670","1.8692","1.8486","-","-1.49%"
"Nov 24, 2017","1.8800","1.9059","1.9059","1.8638","-","-1.36%"
"Nov 22, 2017","1.9059","1.9103","1.9222","1.8962","-","-0.12%"
"Nov 21, 2017","1.9081","1.8962","1.9222","1.8876","-","0.63%"
"Nov 20, 2017","1.8962","1.8995","1.9027","1.8865","-","-1.13%"
"Nov 17, 2017","1.9178","1.9049","1.9189","1.9049","-","1.26%"
"Nov 16, 2017","1.8940","1.8962","1.9070","1.8876","-","0.05%"
"Nov 15, 2017","1.8930","1.9189","1.9243","1.8843","-","-1.68%"
"Nov 14, 2017","1.9254","1.9081","1.9286","1.9070","-","0.45%"
"Nov 13, 2017","1.9167","1.9178","1.9211","1.9038","-","-1.28%"
"Nov 10, 2017","1.9416","1.9178","1.9459","1.9178","-","0.90%"
"Nov 09, 2017","1.9243","1.9200","1.9373","1.9027","-","8.96%"
"Nov 08, 2017","1.7661","1.7602","1.7671","1.7383","-","-0.23%"
"Nov 07, 2017","1.7701","1.7671","1.7711","1.7582","-","-0.78%"
"Nov 06, 2017","1.7840","1.7762","1.7873","1.7740","-","0.92%"
"Nov 03, 2017","1.7677","1.7738","1.7789","1.7535","-","-0.03%"
"Nov 02, 2017","1.7682","1.7508","1.7695","1.7351","-","1.92%"
"Nov 01, 2017","1.7349","1.7307","1.7515","1.7286","-","-0.12%"
"Oct 31, 2017","1.7369","1.7629","1.7639","1.7276","-","-1.47%"
"Oct 30, 2017","1.7629","1.7691","1.7722","1.7535","-","-0.58%"
"Oct 27, 2017","1.7732","1.7857","1.7878","1.7639","-","-1.04%"
"Oct 26, 2017","1.7919","1.8106","1.8127","1.7888","-","-0.86%"
"Oct 25, 2017","1.8075","1.8241","1.8386","1.8002","-","-0.57%"
"Oct 24, 2017","1.8179","1.8044","1.8199","1.7981","-","0.29%"
"Oct 23, 2017","1.8127","1.7691","1.8189","1.7598","-","2.52%"
"Oct 20, 2017","1.7681","1.8002","1.8075","1.7639","-","-1.56%"
"Oct 19, 2017","1.7961","1.7878","1.8106","1.7878","-","0.64%"
"Oct 18, 2017","1.7847","1.7950","1.7971","1.7805","-","-1.09%"
"Oct 17, 2017","1.8044","1.8096","1.8282","1.7992","-","-0.40%"
"Oct 16, 2017","1.8116","1.8272","1.8376","1.8075","-","-0.69%"
"Oct 13, 2017","1.8241","1.7898","1.8282","1.7888","-","2.09%"
"Oct 12, 2017","1.7867","1.8044","1.8147","1.7764","-","-0.63%"
"Oct 11, 2017","1.7981","1.7981","1.8075","1.7847","-","-0.46%"
"Oct 10, 2017","1.8064","1.8033","1.8241","1.8013","-","-0.85%"
"Oct 09, 2017","1.8218","1.8406","1.8448","1.8197","-","-1.69%"
"Oct 06, 2017","1.8532","1.8385","1.8573","1.8333","-","0.62%"
"Oct 05, 2017","1.8417","1.8438","1.8553","1.8302","-","-0.28%"
"Oct 04, 2017","1.8469","1.8688","1.8699","1.8448","-","-1.34%"
"Oct 03, 2017","1.8720","1.8594","1.8814","1.8594","-","0.73%"
"Oct 02, 2017","1.8584","1.8532","1.8594","1.8364","-","-0.78%"
"Sep 29, 2017","1.8730","1.8960","1.9169","1.8688","-","-1.48%"
"Sep 28, 2017","1.9012","1.9211","1.9221","1.8970","-","-1.41%"
"Sep 27, 2017","1.9284","1.8835","1.9326","1.8793","-","1.71%"
"Sep 26, 2017","1.8960","1.9002","1.9232","1.8876","-","-0.05%"
"Sep 25, 2017","1.8970","1.8605","1.9002","1.8605","-","1.00%"
"Sep 22, 2017","1.8782","1.8991","1.9002","1.8720","-","-0.67%"
"Sep 21, 2017","1.8908","1.8678","1.8991","1.8615","-","0.61%"
"Sep 20, 2017","1.8793","1.8573","1.8814","1.8563","-","1.52%"
"Sep 19, 2017","1.8511","1.8647","1.8657","1.8208","-","-0.11%"
"Sep 18, 2017","1.8532","1.8678","1.8688","1.8479","-","-1.22%"
"Sep 15, 2017","1.8761","1.8438","1.8803","1.8438","-","1.35%"
"Sep 14, 2017","1.8511","1.8678","1.8814","1.8459","-","-0.05%"
"Sep 13, 2017","1.8521","1.8626","1.8782","1.8448","-","0.28%"
"Sep 12, 2017","1.8469","1.8124","1.8542","1.7905","-","13.54%"
"Sep 11, 2017","1.6266","1.6238","1.6350","1.6163","-","-0.68%"
"Sep 08, 2017","1.6378","1.6388","1.6528","1.6294","-","0.11%"
"Sep 07, 2017","1.6360","1.6678","1.6678","1.6313","-","-1.91%"
"Sep 06, 2017","1.6678","1.6453","1.6762","1.6453","-","0.62%"
"Sep 05, 2017","1.6575","1.6640","1.6715","1.6537","-","0.97%"
"Sep 01, 2017","1.6416","1.6406","1.6463","1.6257","-","0.98%"
"Aug 31, 2017","1.6257","1.6126","1.6378","1.6107","-","1.11%"
"Aug 30, 2017","1.6079","1.6173","1.6201","1.5986","-","0.00%"
"Aug 29, 2017","1.6079","1.5845","1.6126","1.5808","-","0.41%"
"Aug 28, 2017","1.6014","1.6135","1.6182","1.5967","-","-1.66%"
"Aug 25, 2017","1.6285","1.6332","1.6378","1.6219","-","0.17%"
"Aug 24, 2017","1.6257","1.6154","1.6341","1.5976","-","1.05%"
"Aug 23, 2017","1.6088","1.6117","1.6247","1.6023","-","0.23%"
"Aug 22, 2017","1.6051","1.6369","1.6388","1.6042","-","-1.83%"
"Aug 21, 2017","1.6350","1.6481","1.6537","1.6304","-","-1.24%"
"Aug 18, 2017","1.6556","1.6537","1.6622","1.6425","-","0.39%"
"Aug 17, 2017","1.6491","1.6696","1.6715","1.6425","-","-1.40%"
"Aug 16, 2017","1.6725","1.7202","1.7211","1.6622","-","-1.97%"
"Aug 15, 2017","1.7061","1.7286","1.7304","1.7005","-","-2.51%"
"Aug 14, 2017","1.7501","1.7230","1.7520","1.7155","-","0.16%"
"Aug 11, 2017","1.7473","1.7473","1.7576","1.7304","-","-0.37%"
"Aug 10, 2017","1.7538","1.8184","1.8315","1.7510","-","-3.70%"
"Aug 09, 2017","1.8212","1.8202","1.8259","1.8015","-","26.71%"
"Aug 08, 2017","1.4373","1.4677","1.4684","1.4298","-","-1.37%"
"Aug 07, 2017","1.4573","1.4447","1.4573","1.4306","-","1.71%"
"Aug 04, 2017","1.4328","1.4452","1.4515","1.4307","-","-0.55%"
"Aug 03, 2017","1.4407","1.4361","1.4564","1.4300","-","-0.61%"
"Aug 02, 2017","1.4495","1.4638","1.4668","1.4348","-","-0.08%"
"Aug 01, 2017","1.4507","1.4923","1.4963","1.4499","-","-2.79%"
"Jul 31, 2017","1.4923","1.4994","1.5112","1.4853","-","-1.36%"
"Jul 28, 2017","1.5128","1.5144","1.5379","1.5120","-","0.26%"
"Jul 27, 2017","1.5089","1.5167","1.5269","1.5057","-","0.42%"
"Jul 26, 2017","1.5026","1.5041","1.5112","1.4916","-","0.79%"
"Jul 25, 2017","1.4908","1.5269","1.5277","1.4884","-","-3.02%"
"Jul 24, 2017","1.5372","1.5513","1.5521","1.5207","-","-2.10%"
"Jul 21, 2017","1.5702","1.5914","1.6040","1.5655","-","-1.28%"
"Jul 20, 2017","1.5906","1.5780","1.5977","1.5663","-","0.54%"
"Jul 19, 2017","1.5820","1.5867","1.6001","1.5733","-","-0.15%"
"Jul 18, 2017","1.5843","1.6197","1.6284","1.5836","-","-0.45%"
"Jul 17, 2017","1.5914","1.6032","1.6095","1.5891","-","-0.93%"
"Jul 14, 2017","1.6064","1.6268","1.6370","1.6016","-","-0.19%"
"Jul 13, 2017","1.6095","1.6496","1.6567","1.6024","-","-4.70%"
"Jul 12, 2017","1.6889","1.7235","1.7290","1.6818","-","-19.66%"
"Jul 11, 2017","2.1021","2.0651","2.1193","2.0632","-","0.55%"
"Jul 10, 2017","2.0907","2.0860","2.1031","2.0689","-","2.80%"
"Jul 07, 2017","2.0337","2.0252","2.0736","2.0242","-","-0.74%"
"Jul 06, 2017","2.0489","2.0603","2.0917","2.0356","-","-3.75%"
"Jul 05, 2017","2.1288","2.1097","2.1820","2.0404","-","0.91%"
"Jul 03, 2017","2.1097","2.0423","2.1135","2.0394","-","5.51%"
"Jun 30, 2017","1.9995","1.9358","1.9995","1.9273","-","6.05%"
"Jun 29, 2017","1.8855","1.8313","1.8950","1.8284","-","4.87%"
"Jun 28, 2017","1.7980","1.7876","1.8056","1.7781","-","0.85%"
"Jun 27, 2017","1.7828","1.7828","1.7961","1.7676","-","0.75%"
"Jun 26, 2017","1.7695","1.7752","1.7809","1.7629","-","-1.69%"
"Jun 23, 2017","1.7999","1.8142","1.8256","1.7961","-","-0.37%"
"Jun 22, 2017","1.8066","1.8047","1.8113","1.7885","-","-0.88%"
"Jun 21, 2017","1.8227","1.8361","1.8427","1.8227","-","-1.69%"
"Jun 20, 2017","1.8541","1.8484","1.8560","1.8199","-","0.98%"
"Jun 19, 2017","1.8361","1.8304","1.8598","1.8304","-","0.31%"
"Jun 16, 2017","1.8304","1.8009","1.8399","1.8009","-","2.67%"
"Jun 15, 2017","1.7828","1.7306","1.7914","1.7182","-","2.57%"
"Jun 14, 2017","1.7382","1.7657","1.7705","1.7353","-","-0.44%"
"Jun 13, 2017","1.7458","1.7268","1.7477","1.7154","-","2.40%"
"Jun 12, 2017","1.7049","1.7220","1.7230","1.6945","-","-2.50%"
"Jun 09, 2017","1.7486","1.7467","1.7790","1.7448","-","-5.08%"
"Jun 08, 2017","1.8421","1.8431","1.8680","1.8352","-","0.87%"
"Jun 07, 2017","1.8262","1.8073","1.8361","1.8023","-","2.00%"
"Jun 06, 2017","1.7904","1.7809","1.8090","1.7801","-","1.46%"
"Jun 05, 2017","1.7646","1.7626","1.7707","1.7505","-","0.00%"
"Jun 02, 2017","1.7646","1.7633","1.7817","1.7582","-","0.10%"
"Jun 01, 2017","1.7628","1.7659","1.7659","1.7310","-","-0.06%"
"May 31, 2017","1.7639","1.7793","1.7926","1.7597","-","-0.06%"
"May 30, 2017","1.7649","1.7865","1.7926","1.7526","-","-1.99%"
"May 26, 2017","1.8008","1.7710","1.8039","1.7680","-","1.74%"
"May 25, 2017","1.7700","1.7834","1.7906","1.7680","-","-0.41%"
"May 24, 2017","1.7772","1.7659","1.7782","1.7587","-","0.70%"
"May 23, 2017","1.7649","1.7721","1.7885","1.7587","-","-1.09%"
"May 22, 2017","1.7844","1.7998","1.8173","1.7844","-","-0.23%"
"May 19, 2017","1.7885","1.7639","1.7936","1.7608","-","2.23%"
"May 18, 2017","1.7495","1.7392","1.7608","1.7310","-","-0.29%"
"May 17, 2017","1.7546","1.7526","1.7762","1.7505","-","0.65%"
"May 16, 2017","1.7433","1.7300","1.7495","1.7269","-","0.24%"
"May 15, 2017","1.7392","1.7628","1.7649","1.7320","-","-2.19%"
"May 12, 2017","1.7782","1.7793","1.7978","1.7741","-","-0.23%"
"May 11, 2017","1.7823","1.7803","1.7895","1.7608","-","0.46%"
"May 10, 2017","1.7741","1.7680","1.7885","1.7515","-","0.52%"
"May 09, 2017","1.7649","1.7844","1.7844","1.7608","-","-4.14%"
"May 08, 2017","1.8412","1.8614","1.8688","1.8380","-","-1.98%"
"May 05, 2017","1.8784","1.8688","1.8858","1.8667","-","1.03%"
"May 04, 2017","1.8593","1.9071","1.9134","1.8518","-","-3.58%"
"May 03, 2017","1.9283","1.9092","1.9347","1.8943","-","0.00%"
"May 02, 2017","1.9283","1.9495","1.9527","1.9071","-","-0.44%"
"May 01, 2017","1.9368","1.8752","1.9410","1.8741","-","5.50%"
"Apr 28, 2017","1.8359","1.8359","1.8434","1.8253","-","0.23%"
"Apr 27, 2017","1.8317","1.8200","1.8391","1.8062","-","1.12%"
"Apr 26, 2017","1.8115","1.8200","1.8370","1.8030","-","-0.12%"
"Apr 25, 2017","1.8136","1.7765","1.8232","1.7669","-","1.85%"
"Apr 24, 2017","1.7807","1.8019","1.8041","1.7754","-","-0.41%"
"Apr 21, 2017","1.7881","1.7881","1.7998","1.7680","-","-0.18%"
"Apr 20, 2017","1.7913","1.8497","1.8561","1.7903","-","-2.94%"
"Apr 19, 2017","1.8455","1.8561","1.8710","1.8380","-","-0.57%"
"Apr 18, 2017","1.8561","1.8561","1.8593","1.8380","-","0.29%"
"Apr 17, 2017","1.8508","1.8795","1.8805","1.8434","-","-1.58%"
"Apr 13, 2017","1.8805","1.9018","1.9060","1.8784","-","-0.79%"
